2024-11-13 15:07:37,563 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Configure stats pid to 21956
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Loading settings from /Users/jackmontgomery/.config/wandb/settings
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Loading settings from /Users/jackmontgomery/Desktop/UCT/RL/comm-marl/experiment/wandb/settings
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'experiment/param_share/main.py', 'program_abspath': '/Users/jackmontgomery/Desktop/UCT/RL/comm-marl/experiment/param_share/main.py', 'program': '/Users/jackmontgomery/Desktop/UCT/RL/comm-marl/experiment/param_share/main.py'}
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_init.py:_log_setup():533] Logging user logs to /Users/jackmontgomery/Desktop/UCT/RL/comm-marl/experiment/wandb/run-20241113_150737-ow6qdrrl/logs/debug.log
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/jackmontgomery/Desktop/UCT/RL/comm-marl/experiment/wandb/run-20241113_150737-ow6qdrrl/logs/debug-internal.log
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_init.py:init():619] calling init triggers
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'env': 'PredatorPrey', 'n_steps': 25000, 'n_episodes': 1, 'epsilon': 1, 'last_action': True, 'reuse_network': True, 'gamma': 0.99, 'evaluate_epoch': 20, 'alg': 'idql', 'optimizer': 'RMS', 'model_dir': './model', 'result_dir': './result', 'load_model': False, 'learn': True, 'evaluate_cycle': 10000, 'target_update_cycle': 200, 'save_cycle': 6650, 'cuda': False, 'with_comm': True, 'msg_cut': False, 'parameter_sharing': True, 'rnn_hidden_dim': 64, 'n_actions': 5, 'n_agents': 4, 'state_shape': 112, 'obs_shape': 28, 'episode_limit': 100, 'batch_size': 32, 'buffer_size': 5000, 'min_epsilon': 0.05, 'anneal_epsilon': 1.8999999999999998e-05, 'epsilon_anneal_scale': 'step', 'qmix_hidden_dim': 32, 'two_hyper_layers': False, 'hyper_hidden_dim': 64, 'qtran_hidden_dim': 64, 'lr': 0.0005, 'comm_net_dim': 64, 'train_steps': 1, 'grad_norm_clip': 10, 'lambda_opt': 1, 'lambda_nopt': 1, 'final_msg_dim': 10}
2024-11-13 15:07:37,564 INFO    MainThread:21956 [wandb_init.py:init():669] starting backend
2024-11-13 15:07:37,565 INFO    MainThread:21956 [wandb_init.py:init():673] sending inform_init request
2024-11-13 15:07:37,566 INFO    MainThread:21956 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-13 15:07:37,567 INFO    MainThread:21956 [wandb_init.py:init():686] backend started and connected
2024-11-13 15:07:37,572 INFO    MainThread:21956 [wandb_init.py:init():781] updated telemetry
2024-11-13 15:07:37,595 INFO    MainThread:21956 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-13 15:07:38,092 INFO    MainThread:21956 [wandb_init.py:init():867] starting run threads in backend
2024-11-13 15:07:38,122 INFO    MainThread:21956 [wandb_run.py:_console_start():2451] atexit reg
2024-11-13 15:07:38,122 INFO    MainThread:21956 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-13 15:07:38,123 INFO    MainThread:21956 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-13 15:07:38,123 INFO    MainThread:21956 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-13 15:07:38,124 INFO    MainThread:21956 [wandb_init.py:init():911] run started, returning control to user process
2024-11-13 15:08:26,789 INFO    MainThread:21956 [wandb_run.py:_finish():2146] finishing run jackbmontgomery-university-of-cape-town/comm-marl/ow6qdrrl
2024-11-13 15:08:26,790 INFO    MainThread:21956 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-13 15:08:26,790 INFO    MainThread:21956 [wandb_run.py:_restore():2396] restore
2024-11-13 15:08:26,790 INFO    MainThread:21956 [wandb_run.py:_restore():2402] restore done
2024-11-13 15:08:30,156 INFO    MainThread:21956 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-13 15:08:30,156 INFO    MainThread:21956 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-13 15:08:30,159 INFO    MainThread:21956 [wandb_run.py:_footer_sync_info():3922] logging synced files
